walk_id,experiment,test_accuracy,test_macro_f1,test_auc,cohen_kappa,mcc,sharpe_ratio,max_drawdown,profit_factor,win_rate,total_trades,n_samples
1,LSTM_TI,0.332908,0.326075,0.487481,-0.011934,-0.012037,-0.094216,-0.203943,0.965689,0.492456,1657,2349
2,LSTM_TI,0.350195,0.342953,0.537518,0.033835,0.03512,0.399087,-0.129644,1.161434,0.515,1200,2313
3,LSTM_TI,0.363309,0.356282,0.539583,0.05914,0.063665,-0.600262,-0.389868,0.810296,0.481364,1261,1668
4,LSTM_TI,0.353982,0.35154,0.51847,0.045004,0.046633,0.487248,-0.320836,1.201885,0.516602,1295,2034
5,LSTM_TI,0.36086,0.359539,0.556711,0.071643,0.076626,-0.31782,-0.415433,0.888264,0.495549,1348,2325
6,LSTM_TI,0.401292,0.377533,0.572998,0.080343,0.081357,0.369954,-0.414036,1.147312,0.555447,1019,1393
7,LSTM_TI,0.344941,0.331623,0.520931,0.032534,0.035115,0.193604,-0.144998,1.07275,0.511693,1069,2441
8,LSTM_TI,0.327652,0.327604,0.49731,-0.003669,-0.003707,-0.132613,-0.302254,0.946122,0.510609,1461,2347
9,LSTM_TI,0.362663,0.356389,0.526329,0.050266,0.051767,0.079874,-0.163853,1.029466,0.496263,1338,2523
10,LSTM_TI,0.385276,0.353277,0.532835,0.016393,0.016437,0.377878,-0.224332,1.155899,0.511993,1209,1630
11,LSTM_TI,0.335004,0.332564,0.536251,0.044655,0.049406,0.129068,-0.234781,1.048026,0.528249,1416,2594
12,LSTM_TI,0.42885,0.354791,0.537731,0.068436,0.068915,1.159748,-0.182483,1.500078,0.580726,799,1026
13,LSTM_TI,0.400983,0.320019,0.489917,-0.011254,-0.011413,0.014443,-0.560301,1.005849,0.504094,2565,2848
14,LSTM_TI,0.415445,0.333535,0.528874,-0.000535,-0.000536,0.23608,-0.164682,1.083007,0.5,906,1023
15,LSTM_TI,0.343487,0.291995,0.52934,0.043812,0.058388,-0.734374,-0.658726,0.736122,0.490177,2036,2495
16,LSTM_TI,0.374517,0.358073,0.541805,0.050452,0.051647,0.164892,-0.081166,1.062629,0.529874,636,777
17,LSTM_TI,0.332521,0.331982,0.516586,0.018451,0.019288,-0.358651,-0.338198,0.867301,0.515718,1177,2051
18,LSTM_TI,0.437398,0.394068,0.543356,0.092111,0.094534,3.146264,-0.013675,3.162978,0.65445,382,615
