walk_id,experiment,test_accuracy,test_macro_f1,test_auc,cohen_kappa,mcc,sharpe_ratio,max_drawdown,profit_factor,win_rate,total_trades,n_samples
1,LSTM_Raw,0.349936,0.323914,0.497921,-0.016141,-0.016188,0.744396,-0.206996,1.318586,0.527053,1571,2349
2,LSTM_Raw,0.342845,0.341872,0.527569,0.017289,0.017408,-0.133026,-0.28439,0.951414,0.491453,1404,2313
3,LSTM_Raw,0.347122,0.34721,0.519158,0.032527,0.033334,-0.167272,-0.147672,0.94304,0.496538,1011,1668
4,LSTM_Raw,0.318092,0.309503,0.487983,-0.023552,-0.024119,-0.1111,-0.179736,0.95885,0.467228,1068,2034
5,LSTM_Raw,0.302796,0.280624,0.512975,0.008003,0.009538,-1.254078,-0.462516,0.618796,0.435359,905,2325
6,LSTM_Raw,0.318019,0.264825,0.49958,-0.069115,-0.077026,-0.427712,-0.813607,0.850994,0.441659,1157,1393
7,LSTM_Raw,0.342073,0.335929,0.505286,0.016871,0.017225,0.062528,-0.193606,1.022753,0.488544,1353,2441
8,LSTM_Raw,0.328931,0.319358,0.503336,-0.00715,-0.007372,-0.071586,-0.301045,0.97106,0.475783,1404,2347
9,LSTM_Raw,0.368212,0.359918,0.528553,0.057072,0.058501,0.358017,-0.187047,1.139467,0.51729,1417,2523
10,LSTM_Raw,0.360123,0.351271,0.534951,0.038924,0.040153,0.251618,-0.298119,1.099977,0.50094,1064,1630
11,LSTM_Raw,0.291827,0.286587,0.491263,-0.007154,-0.008175,-1.468641,-0.816605,0.579257,0.439815,1728,2594
12,LSTM_Raw,0.436647,0.360261,0.497916,0.080785,0.082528,1.802501,-0.178053,1.874814,0.611688,770,1026
13,LSTM_Raw,0.468399,0.2969,0.486817,0.018335,0.021736,2.013786,-0.128631,2.299493,0.61259,2367,2848
14,LSTM_Raw,0.406647,0.328551,0.470708,-0.032037,-0.032072,-0.329969,-0.438573,0.895072,0.489154,922,1023
15,LSTM_Raw,0.331463,0.269236,0.541169,0.015805,0.020932,-0.784726,-0.629076,0.719958,0.488496,2260,2495
16,LSTM_Raw,0.350064,0.315806,0.512926,0.033082,0.036717,0.054628,-0.117018,1.02,0.536189,677,777
17,LSTM_Raw,0.348123,0.332363,0.508211,0.023108,0.024341,-0.064129,-0.411652,0.975516,0.502959,1690,2051
18,LSTM_Raw,0.497561,0.406621,0.599651,0.135599,0.138942,3.177421,-0.017088,3.177839,0.655319,470,615
