walk_id,experiment,test_accuracy,test_macro_f1,test_auc,cohen_kappa,mcc,sharpe_ratio,max_drawdown,profit_factor,win_rate,total_trades,n_samples
1,CNN_Candle,0.343125,0.324427,0.506132,0.000997,0.001033,-0.189018,-0.262163,0.931473,0.483099,1923,2349
2,CNN_Candle,0.32901,0.328038,0.503236,-0.003299,-0.003323,-0.02608,-0.264746,0.988927,0.473722,1389,2313
3,CNN_Candle,0.348321,0.323882,0.495552,-0.007474,-0.00757,0.361707,-0.15141,1.137428,0.517572,1252,1668
4,CNN_Candle,0.337266,0.337665,0.511954,0.015954,0.016304,-0.318663,-0.341976,0.888093,0.476054,1399,2034
5,CNN_Candle,0.377204,0.357321,0.534342,0.040639,0.040717,0.450819,-0.092479,1.18971,0.535758,1650,2325
6,CNN_Candle,0.39196,0.353926,0.543719,0.056972,0.058718,0.555935,-0.169165,1.234026,0.54689,1077,1393
7,CNN_Candle,0.351086,0.350667,0.519351,0.025925,0.025986,0.337187,-0.064328,1.129777,0.516149,1579,2441
8,CNN_Candle,0.341287,0.34069,0.512535,0.018484,0.018752,0.202048,-0.107568,1.083962,0.518786,1384,2347
9,CNN_Candle,0.346017,0.345807,0.507087,0.016417,0.016434,-0.069436,-0.180909,0.974915,0.492942,1771,2523
10,CNN_Candle,0.386503,0.358169,0.532445,0.036444,0.036552,0.675439,-0.101603,1.292938,0.537959,1225,1630
11,CNN_Candle,0.319969,0.300559,0.480698,-0.027077,-0.028428,0.089446,-0.257318,1.03316,0.516899,1509,2594
12,CNN_Candle,0.41423,0.326802,0.517613,0.015303,0.015923,1.085696,-0.297918,1.461268,0.55625,800,1026
13,CNN_Candle,0.348315,0.333017,0.533855,0.033754,0.036744,-0.408603,-0.547996,0.848327,0.486667,2100,2848
14,CNN_Candle,0.400782,0.331262,0.522125,0.020433,0.021377,-0.051634,-0.235257,0.982851,0.496652,896,1023
15,CNN_Candle,0.357916,0.348526,0.519826,0.034693,0.035481,0.048522,-0.276031,1.020522,0.517508,1942,2495
16,CNN_Candle,0.351351,0.348782,0.49365,0.026831,0.026983,0.176951,-0.089911,1.06575,0.513627,477,777
17,CNN_Candle,0.364213,0.358393,0.539663,0.047569,0.048924,-0.201265,-0.336772,0.925099,0.494555,1561,2051
18,CNN_Candle,0.386992,0.352249,0.523444,0.029075,0.029719,0.196445,-0.125563,1.073866,0.521654,508,615
