walk_id,experiment,test_accuracy,test_macro_f1,test_auc,cohen_kappa,mcc,sharpe_ratio,max_drawdown,profit_factor,win_rate,total_trades,n_samples
1,ViT_Heatmap,0.367816,0.357185,0.51962,0.036231,0.036451,0.575506,-0.273428,1.235264,0.522468,1491,2349
2,ViT_Heatmap,0.342412,0.332592,0.523823,0.021851,0.023063,0.184314,-0.243909,1.081094,0.495592,1588,2313
3,ViT_Heatmap,0.342326,0.339844,0.515087,0.030041,0.031234,-0.266129,-0.190034,0.910728,0.500546,915,1668
4,ViT_Heatmap,0.349558,0.348698,0.530298,0.032242,0.032837,0.202628,-0.224737,1.079095,0.512941,1275,2034
5,ViT_Heatmap,0.329032,0.314428,0.516524,-0.001153,-0.001233,-0.187356,-0.316097,0.930949,0.495875,1091,2325
6,ViT_Heatmap,0.426418,0.395941,0.583103,0.099082,0.099221,1.132425,-0.223368,1.525113,0.556673,1094,1393
7,ViT_Heatmap,0.342483,0.340119,0.534009,0.023471,0.024175,-0.057329,-0.184826,0.979458,0.505738,1307,2441
8,ViT_Heatmap,0.354069,0.349092,0.523406,0.0279,0.028187,0.066102,-0.184661,1.027793,0.518272,1505,2347
9,ViT_Heatmap,0.330559,0.327687,0.507116,-0.003416,-0.003445,-0.322934,-0.351719,0.888583,0.47203,1591,2523
10,ViT_Heatmap,0.426994,0.365966,0.523411,0.056941,0.05766,1.303343,-0.244642,1.62978,0.58419,1265,1630
11,ViT_Heatmap,0.336931,0.330338,0.505879,0.020843,0.02211,-0.219332,-0.405908,0.923328,0.501809,1658,2594
12,ViT_Heatmap,0.345029,0.284253,0.465378,-0.065556,-0.066153,-0.272183,-0.229357,0.909105,0.487959,789,1026
13,ViT_Heatmap,0.327247,0.321234,0.516683,0.013571,0.01477,-0.004543,-0.330389,0.998195,0.514845,1583,2848
14,ViT_Heatmap,0.371457,0.306239,0.487173,-0.045555,-0.045853,-0.291192,-0.355031,0.906325,0.488372,860,1023
15,ViT_Heatmap,0.372745,0.367487,0.545163,0.060665,0.06194,0.308419,-0.176237,1.13657,0.526485,1869,2495
16,ViT_Heatmap,0.370656,0.370755,0.537839,0.057937,0.058279,0.363627,-0.045705,1.138635,0.547431,506,777
17,ViT_Heatmap,0.368113,0.364982,0.538498,0.051535,0.052149,0.254043,-0.19314,1.102775,0.520369,1301,2051
18,ViT_Heatmap,0.404878,0.361656,0.5296,0.056934,0.057522,1.237834,-0.014063,1.573853,0.555094,481,615
